date,confiance,paris,succes,gains,profit,strategie
2021-05-21,Moyen,10,8,20.9,10.899999999999999,PLACE
2021-05-22,FORT,30,21,34.6,4.600000000000001,PLACE
2021-05-22,Moyen,14,8,15.200000000000001,1.200000000000001,PLACE
2021-05-23,FORT,28,18,26.2,-1.8000000000000007,PLACE
2021-05-23,Moyen,32,13,30.099999999999998,-1.9000000000000021,PLACE
2021-05-24,FORT,23,15,25.4,2.3999999999999986,PLACE
2021-05-24,Moyen,26,11,28.7,2.6999999999999993,PLACE
2021-05-25,FORT,17,15,19.6,2.6000000000000014,PLACE
2021-05-25,Moyen,7,3,6.7,-0.2999999999999998,PLACE
2021-05-26,FORT,18,14,19.8,1.8000000000000007,PLACE
2021-05-26,Moyen,15,8,17.95,2.9499999999999993,PLACE
2021-05-27,FORT,19,14,23.0,4.0,PLACE
2021-05-27,Moyen,13,6,11.3,-1.6999999999999993,PLACE
2021-05-28,FORT,24,21,33.3,9.299999999999997,PLACE
2021-05-28,Moyen,14,8,17.0,3.0,PLACE
2021-05-29,FORT,31,21,30.45,-0.5500000000000007,PLACE
2021-05-29,Moyen,10,2,5.0,-5.0,PLACE
2021-05-30,FORT,29,24,42.9,13.899999999999999,PLACE
2021-05-30,Moyen,22,10,29.1,7.100000000000001,PLACE
2021-05-31,FORT,17,13,19.8,2.8000000000000007,PLACE
2021-05-31,Moyen,7,5,9.9,2.9000000000000004,PLACE
2021-06-01,FORT,18,12,18.1,0.10000000000000142,PLACE
2021-06-01,Moyen,6,3,5.3,-0.7000000000000002,PLACE
2021-06-02,FORT,16,13,20.05,4.050000000000001,PLACE
2021-06-02,Moyen,9,2,4.5,-4.5,PLACE
2021-06-03,FORT,24,15,23.8,-0.1999999999999993,PLACE
2021-06-03,Moyen,16,6,12.2,-3.8000000000000007,PLACE
2021-06-04,FORT,22,16,23.75,1.75,PLACE
2021-06-04,Moyen,10,5,9.899999999999999,-0.10000000000000142,PLACE
2021-06-05,FORT,30,22,77.0,47.0,PLACE
2021-06-05,Moyen,15,11,30.7,15.7,PLACE
2021-06-06,FORT,30,21,37.15,7.149999999999999,PLACE
2021-06-06,Moyen,21,12,27.1,6.100000000000001,PLACE
2021-06-07,FORT,13,10,13.5,0.5,PLACE
2021-06-07,Moyen,10,6,10.9,0.9000000000000004,PLACE
2021-06-08,FORT,18,14,22.55,4.550000000000001,PLACE
2021-06-08,Moyen,6,4,9.9,3.9000000000000004,PLACE
2021-06-09,FORT,14,13,17.15,3.1499999999999986,PLACE
2021-06-09,Moyen,10,5,9.5,-0.5,PLACE
2021-06-10,FORT,21,18,25.75,4.75,PLACE
2021-06-10,Moyen,13,6,12.4,-0.5999999999999996,PLACE
2021-06-11,FORT,23,20,30.8,7.800000000000001,PLACE
2021-06-11,Moyen,18,9,19.4,1.3999999999999986,PLACE
2021-06-12,FORT,27,23,35.3,8.299999999999997,PLACE
2021-06-12,Moyen,13,8,15.2,2.1999999999999993,PLACE
2021-06-13,FORT,23,20,30.95,7.949999999999999,PLACE
2021-06-13,Moyen,13,6,15.0,2.0,PLACE
2021-06-14,FORT,24,18,24.5,0.5,PLACE
2021-06-14,Moyen,7,5,13.200000000000001,6.200000000000001,PLACE
2021-06-15,FORT,16,12,15.4,-0.5999999999999996,PLACE
2021-06-15,Moyen,9,3,6.5,-2.5,PLACE
2021-06-16,FORT,18,14,19.15,1.1499999999999986,PLACE
2021-06-16,Moyen,13,7,20.5,7.5,PLACE
2021-06-17,FORT,20,14,23.15,3.1499999999999986,PLACE
2021-06-17,Moyen,20,9,19.5,-0.5,PLACE
2021-06-18,FORT,20,17,25.4,5.399999999999999,PLACE
2021-06-18,Moyen,13,8,16.3,3.3000000000000007,PLACE
2021-06-19,FORT,32,24,35.6,3.6000000000000014,PLACE
2021-06-19,Moyen,17,9,17.9,0.8999999999999986,PLACE
2021-06-20,FORT,31,25,39.5,8.5,PLACE
2021-06-20,Moyen,21,7,19.2,-1.8000000000000007,PLACE
2021-06-21,FORT,18,16,26.6,8.600000000000001,PLACE
2021-06-21,Moyen,11,7,20.4,9.399999999999999,PLACE
2021-06-22,FORT,18,13,24.3,6.300000000000001,PLACE
2021-06-22,Moyen,6,2,3.3,-2.7,PLACE
2021-06-23,FORT,18,13,18.95,0.9499999999999993,PLACE
2021-06-23,Moyen,11,4,8.8,-2.1999999999999993,PLACE
2021-06-24,FORT,18,13,17.65,-0.3500000000000014,PLACE
2021-06-24,Moyen,14,8,16.8,2.8000000000000007,PLACE
2021-06-25,FORT,29,20,33.6,4.600000000000001,PLACE
2021-06-25,Moyen,11,3,7.6,-3.4000000000000004,PLACE
2021-06-26,FORT,23,17,28.7,5.699999999999999,PLACE
2021-06-26,Moyen,25,15,39.9,14.899999999999999,PLACE
2021-06-27,FORT,36,21,35.1,-0.8999999999999986,PLACE
2021-06-27,Moyen,14,9,23.0,9.0,PLACE
2021-06-28,FORT,25,17,29.8,4.800000000000001,PLACE
2021-06-28,Moyen,14,8,17.0,3.0,PLACE
2021-06-29,FORT,21,19,29.5,8.5,PLACE
2021-06-29,Moyen,10,5,11.7,1.6999999999999993,PLACE
2021-06-30,FORT,16,12,20.0,4.0,PLACE
2021-06-30,Moyen,7,7,16.8,9.8,PLACE
2021-07-01,FORT,22,13,21.7,-0.3000000000000007,PLACE
2021-07-01,Moyen,16,8,16.4,0.3999999999999986,PLACE
2021-07-02,FORT,21,14,25.4,4.399999999999999,PLACE
2021-07-02,Moyen,12,4,7.5,-4.5,PLACE
2021-07-03,FORT,24,19,34.2,10.200000000000003,PLACE
2021-07-03,Moyen,10,5,10.7,0.6999999999999993,PLACE
2021-07-04,FORT,30,22,35.6,5.600000000000001,PLACE
2021-07-04,Moyen,10,6,12.6,2.5999999999999996,PLACE
2021-07-05,FORT,19,15,23.1,4.100000000000001,PLACE
2021-07-05,Moyen,5,2,3.9,-1.1,PLACE
2021-07-06,FORT,26,18,27.65,1.6499999999999986,PLACE
2021-07-06,Moyen,8,2,3.4,-4.6,PLACE
2021-07-07,FORT,23,19,30.05,7.050000000000001,PLACE
2021-07-07,Moyen,11,7,14.5,3.5,PLACE
2021-07-08,FORT,25,17,26.7,1.6999999999999993,PLACE
2021-07-08,Moyen,18,10,23.599999999999998,5.599999999999998,PLACE
2021-07-09,FORT,26,18,31.5,5.5,PLACE
2021-07-09,Moyen,9,2,3.5,-5.5,PLACE
2021-07-10,FORT,34,26,40.55,6.549999999999997,PLACE
2021-07-10,Moyen,14,9,19.2,5.199999999999999,PLACE
2021-07-11,FORT,33,22,31.55,-1.4499999999999993,PLACE
2021-07-11,Moyen,16,7,14.7,-1.3000000000000007,PLACE
2021-07-12,FORT,17,13,21.2,4.199999999999999,PLACE
2021-07-12,Moyen,6,2,4.2,-1.7999999999999998,PLACE
2021-07-13,FORT,23,18,24.45,1.4499999999999993,PLACE
2021-07-13,Moyen,11,4,7.2,-3.8,PLACE
2021-07-14,FORT,40,30,52.85,12.850000000000001,PLACE
2021-07-14,Moyen,24,12,32.9,8.899999999999999,PLACE
2021-07-15,FORT,23,13,21.2,-1.8000000000000007,PLACE
2021-07-15,Moyen,9,4,7.9,-1.0999999999999996,PLACE
2021-07-16,FORT,28,20,31.55,3.5500000000000007,PLACE
2021-07-16,Moyen,11,6,11.4,0.40000000000000036,PLACE
2021-07-17,FORT,24,20,34.2,10.200000000000003,PLACE
2021-07-17,Moyen,17,9,15.9,-1.0999999999999996,PLACE
2021-07-18,FORT,20,18,28.6,8.600000000000001,PLACE
2021-07-18,Moyen,6,6,11.6,5.6,PLACE
2021-07-19,FORT,18,12,19.8,1.8000000000000007,PLACE
2021-07-19,Moyen,12,7,13.6,1.5999999999999996,PLACE
2021-07-20,FORT,18,14,22.0,4.0,PLACE
2021-07-20,Moyen,9,5,9.3,0.3000000000000007,PLACE
2021-07-21,FORT,35,25,39.35,4.350000000000001,PLACE
2021-07-21,Moyen,10,9,16.6,6.600000000000001,PLACE
2021-07-22,FORT,19,12,17.7,-1.3000000000000007,PLACE
2021-07-22,Moyen,20,8,17.1,-2.8999999999999986,PLACE
2021-07-23,FORT,29,24,41.7,12.700000000000003,PLACE
2021-07-23,Moyen,11,2,2.8,-8.2,PLACE
2021-07-24,FORT,21,19,28.85,7.850000000000001,PLACE
2021-07-24,Moyen,7,4,5.1,-1.9000000000000004,PLACE
2021-07-25,FORT,19,17,29.8,10.8,PLACE
2021-07-25,Moyen,6,3,6.4,0.40000000000000036,PLACE
2021-07-26,FORT,22,19,25.0,3.0,PLACE
2021-07-26,Moyen,18,10,20.7,2.6999999999999993,PLACE
2021-07-27,FORT,28,22,32.1,4.100000000000001,PLACE
2021-07-27,Moyen,6,3,7.3,1.2999999999999998,PLACE
2021-07-28,FORT,29,22,34.3,5.299999999999997,PLACE
2021-07-28,Moyen,8,5,11.0,3.0,PLACE
2021-07-29,FORT,31,24,36.4,5.399999999999999,PLACE
2021-07-29,Moyen,9,7,14.8,5.800000000000001,PLACE
2021-07-30,FORT,26,16,22.5,-3.5,PLACE
2021-07-30,Moyen,13,5,10.2,-2.8000000000000007,PLACE
2021-07-31,FORT,27,22,30.8,3.8000000000000007,PLACE
2021-07-31,Moyen,6,3,5.8,-0.20000000000000018,PLACE
2021-08-01,FORT,24,20,28.75,4.75,PLACE
2021-08-01,Moyen,17,9,25.4,8.399999999999999,PLACE
2021-08-02,FORT,21,12,18.5,-2.5,PLACE
2021-08-02,Moyen,10,5,11.4,1.4000000000000004,PLACE
2021-08-03,FORT,23,18,31.3,8.3,PLACE
